Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Schalke 04,Hamburger SV,1-3,https://www.besoccer.com/match/schalke-04/hamburger-sv/202216059,2022,1,2_liga,61,59,2,0,2,0,,2022
Darmstadt 98,Jahn Regensburg,0-2,https://www.besoccer.com/match/darmstadt-98/ssv-jahn-regensburg/202216067,2022,1,2_liga,58,48,2,0,0,0,,2022
Heidenheim,Paderborn,0-0,https://www.besoccer.com/match/heidenheim/paderborn/202216070,2022,1,2_liga,60,55,3,0,3,0,,2022
Dynamo Dresden,Ingolstadt 04,3-0,https://www.besoccer.com/match/sg-dynamo-dresden/fc-ingolstadt-04/202216080,2022,1,2_liga,50,55,0,0,2,0,,2022
Hansa Rostock,Karlsruher SC,1-3,https://www.besoccer.com/match/hansa-rostock/karlsruher-sc/202216083,2022,1,2_liga,53,56,3,0,2,0,,2022
Werder Bremen,Hannover 96,1-1,https://www.besoccer.com/match/werder-bremen/hannover-96/202216063,2022,1,2_liga,61,52,1,0,1,0,,2022
FC St. Pauli,Holstein Kiel,3-0,https://www.besoccer.com/match/st-pauli/holstein-kiel/202216072,2022,1,2_liga,54,56,0,0,1,0,,2022
Nürnberg,Erzgebirge Aue,0-0,https://www.besoccer.com/match/fc-nurnberg/fc-erzgebirge-aue/202216073,2022,1,2_liga,58,52,0,0,3,0,,2022
Sandhausen,Fortuna Düsseldorf,0-2,https://www.besoccer.com/match/sv-sandhausen/fortuna-dusseldorf/202216077,2022,1,2_liga,50,57,0,0,2,0,,2022
Karlsruher SC,Darmstadt 98,3-0,https://www.besoccer.com/match/karlsruher-sc/darmstadt-98/202216250,2022,2,2_liga,56,58,1,0,3,0,,2022
Paderborn,Nürnberg,2-2,https://www.besoccer.com/match/paderborn/fc-nurnberg/202216251,2022,2,2_liga,55,58,1,0,4,0,,2022
Hannover 96,Hansa Rostock,0-3,https://www.besoccer.com/match/hannover-96/hansa-rostock/202216253,2022,2,2_liga,52,54,2,0,0,0,,2022
Jahn Regensburg,Sandhausen,3-0,https://www.besoccer.com/match/ssv-jahn-regensburg/sv-sandhausen/202216254,2022,2,2_liga,48,50,1,0,2,0,,2022
Ingolstadt 04,Heidenheim,1-2,https://www.besoccer.com/match/fc-ingolstadt-04/heidenheim/202216255,2022,2,2_liga,55,60,1,0,1,0,,2022
Fortuna Düsseldorf,Werder Bremen,2-3,https://www.besoccer.com/match/fortuna-dusseldorf/werder-bremen/202216249,2022,2,2_liga,57,60,4,0,3,0,,2022
Holstein Kiel,Schalke 04,0-3,https://www.besoccer.com/match/holstein-kiel/schalke-04/202216247,2022,2,2_liga,56,61,3,0,3,0,,2022
Hamburger SV,Dynamo Dresden,1-1,https://www.besoccer.com/match/hamburger-sv/sg-dynamo-dresden/202216248,2022,2,2_liga,60,51,4,0,2,0,,2022
