Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
B. Mönchengladbach,Bayern München,1-1,https://www.besoccer.com/match/borussia-monchengla/bayern-munchen/202215543,2022,1,bundesliga,82,94,2,0,0,0,,2022
Wolfsburg,VfL Bochum,1-0,https://www.besoccer.com/match/wolfsburg/bochum/202215545,2022,1,bundesliga,81,69,0,0,2,0,,2022
Union Berlin,B. Leverkusen,1-1,https://www.besoccer.com/match/1-fc-union-berlin/bayer-leverkusen/202215546,2022,1,bundesliga,70,84,0,0,1,0,,2022
Stuttgart,Greuther Fürth,5-1,https://www.besoccer.com/match/stuttgart/greuther-furth/202215547,2022,1,bundesliga,73,64,0,0,1,0,,2022
FC Augsburg,Hoffenheim,0-4,https://www.besoccer.com/match/fc-augsburg/tsg-1899-hoffenheim/202215549,2022,1,bundesliga,73,79,1,0,2,0,,2022
Arminia Bielefeld,SC Freiburg,0-0,https://www.besoccer.com/match/arminia-bielefeld/sc-freiburg/202215550,2022,1,bundesliga,64,72,3,0,4,0,,2022
B. Dortmund,Eintracht Frankfurt,5-2,https://www.besoccer.com/match/borussia-dortmund/eintracht-frankfurt/202215544,2022,1,bundesliga,91,81,0,0,0,0,,2022
Mainz 05,RB Leipzig,1-0,https://www.besoccer.com/match/mainz-amat/rb-leipzig/202215548,2022,1,bundesliga,74,87,1,0,2,0,,2022
Köln,Hertha BSC,3-1,https://www.besoccer.com/match/1-fc-koln/hertha-bsc/202215551,2022,1,bundesliga,73,74,4,0,2,0,,2022
RB Leipzig,Stuttgart,4-0,https://www.besoccer.com/match/rb-leipzig/stuttgart/202215553,2022,2,bundesliga,88,73,0,0,3,0,,2022
Eintracht Frankfurt,FC Augsburg,0-0,https://www.besoccer.com/match/eintracht-frankfurt/fc-augsburg/202215554,2022,2,bundesliga,81,73,3,0,3,0,,2022
SC Freiburg,B. Dortmund,2-1,https://www.besoccer.com/match/sc-freiburg/borussia-dortmund/202215556,2022,2,bundesliga,72,90,1,0,4,0,,2022
Hertha BSC,Wolfsburg,1-2,https://www.besoccer.com/match/hertha-bsc/wolfsburg/202215558,2022,2,bundesliga,74,81,1,0,2,0,,2022
VfL Bochum,Mainz 05,2-0,https://www.besoccer.com/match/bochum/mainz-amat/202215559,2022,2,bundesliga,72,74,4,0,3,0,,2022
Greuther Fürth,Arminia Bielefeld,1-1,https://www.besoccer.com/match/greuther-furth/arminia-bielefeld/202215560,2022,2,bundesliga,64,64,4,0,1,0,,2022
B. Leverkusen,B. Mönchengladbach,4-0,https://www.besoccer.com/match/bayer-leverkusen/borussia-monchengla/202215555,2022,2,bundesliga,84,81,4,0,2,0,,2022
Hoffenheim,Union Berlin,2-2,https://www.besoccer.com/match/tsg-1899-hoffenheim/1-fc-union-berlin/202215557,2022,2,bundesliga,78,71,1,0,2,0,,2022
Bayern München,Köln,3-2,https://www.besoccer.com/match/bayern-munchen/1-fc-koln/202215552,2022,2,bundesliga,94,74,1,0,1,0,,2022
B. Dortmund,Hoffenheim,3-2,https://www.besoccer.com/match/borussia-dortmund/tsg-1899-hoffenheim/202215562,2022,3,bundesliga,90,78,2,0,3,0,,2022
Stuttgart,SC Freiburg,2-3,https://www.besoccer.com/match/stuttgart/sc-freiburg/202215565,2022,3,bundesliga,74,72,2,0,1,0,,2022
Mainz 05,Greuther Fürth,3-0,https://www.besoccer.com/match/mainz-amat/greuther-furth/202215566,2022,3,bundesliga,75,64,2,0,2,0,,2022
FC Augsburg,B. Leverkusen,1-4,https://www.besoccer.com/match/fc-augsburg/bayer-leverkusen/202215567,2022,3,bundesliga,73,83,0,0,1,0,,2022
Arminia Bielefeld,Eintracht Frankfurt,1-1,https://www.besoccer.com/match/arminia-bielefeld/eintracht-frankfurt/202215568,2022,3,bundesliga,64,81,0,0,3,0,,2022
Köln,VfL Bochum,2-1,https://www.besoccer.com/match/1-fc-koln/bochum/202215569,2022,3,bundesliga,74,72,2,0,1,0,,2022
Bayern München,Hertha BSC,5-0,https://www.besoccer.com/match/bayern-munchen/hertha-bsc/202215561,2022,3,bundesliga,94,74,0,0,0,0,,2022
Union Berlin,B. Mönchengladbach,2-1,https://www.besoccer.com/match/1-fc-union-berlin/borussia-monchengla/202215564,2022,3,bundesliga,72,82,2,0,0,0,,2022
Wolfsburg,RB Leipzig,1-0,https://www.besoccer.com/match/wolfsburg/rb-leipzig/202215563,2022,3,bundesliga,81,87,4,0,2,0,,2022
B. Leverkusen,B. Dortmund,3-4,https://www.besoccer.com/match/bayer-leverkusen/borussia-dortmund/202215572,2022,4,bundesliga,83,90,4,0,3,0,,2022
Union Berlin,FC Augsburg,0-0,https://www.besoccer.com/match/1-fc-union-berlin/fc-augsburg/202215573,2022,4,bundesliga,72,74,1,0,2,0,,2022
SC Freiburg,Köln,1-1,https://www.besoccer.com/match/sc-freiburg/1-fc-koln/202215575,2022,4,bundesliga,72,74,1,0,2,0,,2022
