Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
RBC Roosendaal,TOP Oss,3-1,https://www.besoccer.com/match/rbc/fc-oss/200722074,2007,1,eerste_divisie,52,47,3,0,1,0,,2007
De Graafschap,Go Ahead Eagles,0-1,https://www.besoccer.com/match/graafschap/go-ahead-eagles/200722075,2007,1,eerste_divisie,56,52,3,0,4,0,,2007
BV Veendam ,Emmen,1-1,https://www.besoccer.com/match/veendam/emmen/200722076,2007,1,eerste_divisie,48,55,1,0,2,0,,2007
AGOVV Apeldoorn,Cambuur,3-1,https://www.besoccer.com/match/agovv-apeldoorn/sc-cambuur-leeuwarden/200722077,2007,1,eerste_divisie,53,53,1,0,4,0,,2007
VVV Venlo,FC Eindhoven,1-1,https://www.besoccer.com/match/vvv/fc-eindhoven/200722078,2007,1,eerste_divisie,56,48,1,0,1,0,,2007
Helmond Sport,MVV Maastricht,1-1,https://www.besoccer.com/match/helmond-sport/mvv/200722079,2007,1,eerste_divisie,56,53,0,0,1,0,,2007
HFC Haarlem ,FC Volendam,1-1,https://www.besoccer.com/match/haarlem/fc-volendam/200722080,2007,1,eerste_divisie,47,57,2,0,2,0,,2007
Fortuna Sittard,PEC Zwolle,0-0,https://www.besoccer.com/match/fortuna-sittard/fc-zwolle/200722081,2007,1,eerste_divisie,47,58,1,0,3,0,,2007
Dordrecht,FC Omniworld,3-0,https://www.besoccer.com/match/fc-dordrecht/omniworld/200722082,2007,1,eerste_divisie,51,50,1,0,1,0,,2007
Den Bosch,SC Telstar,2-0,https://www.besoccer.com/match/fc-den-bosch/stormvogels-telstar/200722083,2007,1,eerste_divisie,57,49,0,0,1,0,,2007
MVV Maastricht,VVV Venlo,0-0,https://www.besoccer.com/match/mvv/vvv/200722064,2007,2,eerste_divisie,53,55,2,0,1,0,,2007
SC Telstar,Helmond Sport,2-1,https://www.besoccer.com/match/stormvogels-telstar/helmond-sport/200722065,2007,2,eerste_divisie,49,56,1,0,1,0,,2007
Emmen,AGOVV Apeldoorn,3-2,https://www.besoccer.com/match/emmen/agovv-apeldoorn/200722066,2007,2,eerste_divisie,55,53,1,0,0,0,,2007
FC Eindhoven,RBC Roosendaal,2-2,https://www.besoccer.com/match/fc-eindhoven/rbc/200722067,2007,2,eerste_divisie,48,52,1,0,2,0,,2007
FC Omniworld,Den Bosch,1-4,https://www.besoccer.com/match/omniworld/fc-den-bosch/200722068,2007,2,eerste_divisie,50,57,2,0,2,0,,2007
FC Volendam,De Graafschap,2-1,https://www.besoccer.com/match/fc-volendam/graafschap/200722069,2007,2,eerste_divisie,57,56,2,0,2,0,,2007
PEC Zwolle,Dordrecht,1-1,https://www.besoccer.com/match/fc-zwolle/fc-dordrecht/200722070,2007,2,eerste_divisie,58,51,2,0,3,0,,2007
TOP Oss,HFC Haarlem ,1-6,https://www.besoccer.com/match/fc-oss/haarlem/200722071,2007,2,eerste_divisie,47,47,2,0,0,0,,2007
Go Ahead Eagles,Fortuna Sittard,3-1,https://www.besoccer.com/match/go-ahead-eagles/fortuna-sittard/200722072,2007,2,eerste_divisie,52,47,1,0,3,0,,2007
Cambuur,BV Veendam ,0-0,https://www.besoccer.com/match/sc-cambuur-leeuwarden/veendam/200722073,2007,2,eerste_divisie,53,48,2,0,1,0,,2007
Helmond Sport,Cambuur,0-0,https://www.besoccer.com/match/helmond-sport/sc-cambuur-leeuwarden/200722054,2007,3,eerste_divisie,56,53,2,0,2,0,,2007
RBC Roosendaal,FC Volendam,1-1,https://www.besoccer.com/match/rbc/fc-volendam/200722055,2007,3,eerste_divisie,52,57,3,0,2,0,,2007
Fortuna Sittard,FC Eindhoven,2-1,https://www.besoccer.com/match/fortuna-sittard/fc-eindhoven/200722056,2007,3,eerste_divisie,47,48,1,0,1,0,,2007
