Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Go Ahead Eagles,Heerenveen,0-1,https://www.besoccer.com/match/go-ahead-eagles/heerenveen/20222326,2022,1,eredivisie,63,70,0,0,0,0,,2022
RKC Waalwijk,AZ Alkmaar,1-0,https://www.besoccer.com/match/rkc-waalwijk/az/20222327,2022,1,eredivisie,56,80,0,0,2,0,,2022
Heracles,PSV,0-2,https://www.besoccer.com/match/heracles/psv/20222328,2022,1,eredivisie,69,86,2,0,2,0,,2022
Fortuna Sittard,Twente 1965,2-1,https://www.besoccer.com/match/fortuna-sittard/fc-twente-1965/20222329,2022,1,eredivisie,67,70,2,0,2,0,,2022
Ajax,NEC Nijmegen,5-0,https://www.besoccer.com/match/ajax/nec/20222330,2022,1,eredivisie,90,67,0,0,0,0,,2022
Cambuur,Groningen,1-2,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fc-groningen/20222331,2022,1,eredivisie,71,72,0,0,0,0,,2022
PEC Zwolle,Vitesse,0-1,https://www.besoccer.com/match/fc-zwolle/vitesse/20222332,2022,1,eredivisie,74,75,0,0,2,0,,2022
Utrecht,Sparta Rotterdam,4-0,https://www.besoccer.com/match/fc-utrecht/sparta-rotterdam/20222333,2022,1,eredivisie,80,65,1,0,3,0,,2022
Willem II,Feyenoord,0-4,https://www.besoccer.com/match/willem-ii/feyenoord/20222334,2022,1,eredivisie,71,84,1,1,0,1,,2022
NEC Nijmegen,PEC Zwolle,2-0,https://www.besoccer.com/match/nec/fc-zwolle/20222335,2022,2,eredivisie,68,74,4,0,3,0,,2022
Heerenveen,RKC Waalwijk,3-2,https://www.besoccer.com/match/heerenveen/rkc-waalwijk/20222336,2022,2,eredivisie,70,56,1,0,3,0,,2022
PSV,Cambuur,4-1,https://www.besoccer.com/match/psv/sc-cambuur-leeuwarden/20222337,2022,2,eredivisie,86,71,0,0,1,0,,2022
Sparta Rotterdam,Heracles,1-1,https://www.besoccer.com/match/sparta-rotterdam/heracles/20222338,2022,2,eredivisie,65,68,1,0,2,0,,2022
Groningen,Utrecht,0-0,https://www.besoccer.com/match/fc-groningen/fc-utrecht/20222339,2022,2,eredivisie,72,80,3,0,4,0,,2022
Twente 1965,Ajax,1-1,https://www.besoccer.com/match/fc-twente-1965/ajax/20222340,2022,2,eredivisie,70,90,1,0,2,0,,2022
Feyenoord,Go Ahead Eagles,2-0,https://www.besoccer.com/match/feyenoord/go-ahead-eagles/20222341,2022,2,eredivisie,84,63,1,0,1,0,,2022
Vitesse,Willem II,0-3,https://www.besoccer.com/match/vitesse/willem-ii/20222342,2022,2,eredivisie,75,72,4,0,2,0,,2022
AZ Alkmaar,Fortuna Sittard,2-1,https://www.besoccer.com/match/az/fortuna-sittard/20222343,2022,2,eredivisie,80,67,1,0,1,0,,2022
Fortuna Sittard,RKC Waalwijk,2-2,https://www.besoccer.com/match/fortuna-sittard/rkc-waalwijk/20222344,2022,3,eredivisie,67,56,1,0,1,0,,2022
Cambuur,Twente 1965,2-0,https://www.besoccer.com/match/sc-cambuur-leeuwarden/fc-twente-1965/20222345,2022,3,eredivisie,71,70,1,0,3,0,,2022
Go Ahead Eagles,Sparta Rotterdam,2-0,https://www.besoccer.com/match/go-ahead-eagles/sparta-rotterdam/20222346,2022,3,eredivisie,63,65,1,0,3,0,,2022
PSV,Groningen,5-2,https://www.besoccer.com/match/psv/fc-groningen/20222347,2022,3,eredivisie,87,72,1,0,0,0,,2022
Willem II,PEC Zwolle,1-0,https://www.besoccer.com/match/willem-ii/fc-zwolle/20222348,2022,3,eredivisie,72,75,0,0,0,0,,2022
Utrecht,Feyenoord,3-1,https://www.besoccer.com/match/fc-utrecht/feyenoord/20222349,2022,3,eredivisie,81,84,1,0,4,0,,2022
Ajax,Vitesse,5-0,https://www.besoccer.com/match/ajax/vitesse/20222350,2022,3,eredivisie,90,73,0,0,2,0,,2022
Heracles,NEC Nijmegen,0-1,https://www.besoccer.com/match/heracles/nec/20222351,2022,3,eredivisie,67,70,5,1,2,1,,2022
Heerenveen,AZ Alkmaar,1-3,https://www.besoccer.com/match/heerenveen/az/20222352,2022,3,eredivisie,70,81,0,0,1,0,,2022
Twente 1965,Utrecht,1-0,https://www.besoccer.com/match/fc-twente-1965/fc-utrecht/20222353,2022,4,eredivisie,69,80,4,0,4,0,,2022
PEC Zwolle,Ajax,0-2,https://www.besoccer.com/match/fc-zwolle/ajax/20222354,2022,4,eredivisie,73,90,1,0,3,0,,2022
Cambuur,Go Ahead Eagles,5-2,https://www.besoccer.com/match/sc-cambuur-leeuwarden/go-ahead-eagles/20222355,2022,4,eredivisie,70,62,3,0,1,0,,2022
AZ Alkmaar,PSV,0-3,https://www.besoccer.com/match/az/psv/20222357,2022,4,eredivisie,81,87,2,0,2,0,,2022
NEC Nijmegen,Willem II,0-0,https://www.besoccer.com/match/nec/willem-ii/20222358,2022,4,eredivisie,70,72,1,0,2,0,,2022
Sparta Rotterdam,Fortuna Sittard,3-1,https://www.besoccer.com/match/sparta-rotterdam/fortuna-sittard/20222356,2022,4,eredivisie,66,67,2,0,1,0,,2022
Groningen,Heerenveen,1-1,https://www.besoccer.com/match/fc-groningen/heerenveen/20222361,2022,4,eredivisie,72,71,2,1,4,1,,2022
RKC Waalwijk,Vitesse,1-2,https://www.besoccer.com/match/rkc-waalwijk/vitesse/20222360,2022,4,eredivisie,57,73,4,0,1,0,,2022
Feyenoord,Heracles,2-1,https://www.besoccer.com/match/feyenoord/heracles/20222359,2022,4,eredivisie,84,68,1,0,3,0,,2022
Sparta Rotterdam,NEC Nijmegen,1-1,https://www.besoccer.com/match/sparta-rotterdam/nec/20222362,2022,5,eredivisie,65,70,2,0,3,0,,2022
Heerenveen,Fortuna Sittard,1-0,https://www.besoccer.com/match/heerenveen/fortuna-sittard/20222363,2022,5,eredivisie,71,67,1,0,4,0,,2022
Willem II,Groningen,2-1,https://www.besoccer.com/match/willem-ii/fc-groningen/20222364,2022,5,eredivisie,72,72,3,0,2,0,,2022
Ajax,Cambuur,9-0,https://www.besoccer.com/match/ajax/sc-cambuur-leeuwarden/20222365,2022,5,eredivisie,90,70,0,0,0,0,,2022
Utrecht,RKC Waalwijk,2-2,https://www.besoccer.com/match/fc-utrecht/rkc-waalwijk/20222366,2022,5,eredivisie,80,57,1,0,3,0,,2022
Go Ahead Eagles,PEC Zwolle,1-0,https://www.besoccer.com/match/go-ahead-eagles/fc-zwolle/20222367,2022,5,eredivisie,62,72,1,0,2,0,,2022
PSV,Feyenoord,0-4,https://www.besoccer.com/match/psv/feyenoord/20222368,2022,5,eredivisie,87,84,2,0,2,0,,2022
Vitesse,Twente 1965,1-4,https://www.besoccer.com/match/vitesse/fc-twente-1965/20222369,2022,5,eredivisie,73,68,3,1,3,1,,2022
Heracles,AZ Alkmaar,3-2,https://www.besoccer.com/match/heracles/az/20222370,2022,5,eredivisie,68,81,3,0,1,0,,2022
Fortuna Sittard,Ajax,0-5,https://www.besoccer.com/match/fortuna-sittard/ajax/20222371,2022,6,eredivisie,67,90,1,0,0,0,,2022
RKC Waalwijk,Willem II,1-2,https://www.besoccer.com/match/rkc-waalwijk/willem-ii/20222372,2022,6,eredivisie,57,72,2,0,0,0,,2022
Go Ahead Eagles,PSV,1-2,https://www.besoccer.com/match/go-ahead-eagles/psv/20222373,2022,6,eredivisie,62,87,0,0,2,0,,2022
NEC Nijmegen,Utrecht,0-3,https://www.besoccer.com/match/nec/fc-utrecht/20222375,2022,6,eredivisie,70,80,0,0,1,0,,2022
Groningen,Vitesse,0-1,https://www.besoccer.com/match/fc-groningen/vitesse/20222377,2022,6,eredivisie,72,73,0,2,3,2,,2022
Feyenoord,Heerenveen,3-1,https://www.besoccer.com/match/feyenoord/heerenveen/20222376,2022,6,eredivisie,84,71,1,0,2,0,,2022
PEC Zwolle,Sparta Rotterdam,1-1,https://www.besoccer.com/match/fc-zwolle/sparta-rotterdam/20222378,2022,6,eredivisie,72,65,1,0,2,0,,2022
Cambuur,Heracles,2-1,https://www.besoccer.com/match/sc-cambuur-leeuwarden/heracles/20222374,2022,6,eredivisie,70,68,0,0,0,0,,2022
Twente 1965,AZ Alkmaar,3-1,https://www.besoccer.com/match/fc-twente-1965/az/20222379,2022,6,eredivisie,68,81,1,0,4,0,,2022
Willem II,PSV,2-1,https://www.besoccer.com/match/willem-ii/psv/20222381,2022,7,eredivisie,72,87,1,0,2,0,,2022
Ajax,Groningen,3-0,https://www.besoccer.com/match/ajax/fc-groningen/20222380,2022,7,eredivisie,90,72,0,0,1,0,,2022
Vitesse,Fortuna Sittard,1-1,https://www.besoccer.com/match/vitesse/fortuna-sittard/20222382,2022,7,eredivisie,73,67,2,0,3,0,,2022
Feyenoord,NEC Nijmegen,5-3,https://www.besoccer.com/match/feyenoord/nec/20222384,2022,7,eredivisie,84,70,2,0,2,0,,2022
Utrecht,PEC Zwolle,5-1,https://www.besoccer.com/match/fc-utrecht/fc-zwolle/20222388,2022,7,eredivisie,80,72,0,0,1,0,,2022
Sparta Rotterdam,Cambuur,0-4,https://www.besoccer.com/match/sparta-rotterdam/sc-cambuur-leeuwarden/20222385,2022,7,eredivisie,65,70,1,1,3,1,,2022
AZ Alkmaar,Go Ahead Eagles,5-0,https://www.besoccer.com/match/az/go-ahead-eagles/20222386,2022,7,eredivisie,81,62,2,0,3,0,,2022
Heerenveen,Twente 1965,2-3,https://www.besoccer.com/match/heerenveen/fc-twente-1965/20222387,2022,7,eredivisie,71,68,3,0,0,0,,2022
Heracles,RKC Waalwijk,1-0,https://www.besoccer.com/match/heracles/rkc-waalwijk/20222383,2022,7,eredivisie,68,57,0,0,1,0,,2022
Groningen,Twente 1965,1-1,https://www.besoccer.com/match/fc-groningen/fc-twente-1965/20222389,2022,8,eredivisie,72,68,3,0,4,0,,2022
