Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Monaco,Nantes,1-1,https://www.besoccer.com/match/monaco/nantes/202215483,2022,1,ligue_1,86,75,0,0,0,0,,2022
Olympique Lyonnais,Stade Brestois,1-1,https://www.besoccer.com/match/olympique-lyonnais/stade-brestois-29/202215480,2022,1,ligue_1,89,67,1,0,1,0,,2022
Troyes,PSG,1-2,https://www.besoccer.com/match/troyes/paris-saint-germain-fc/202215490,2022,1,ligue_1,66,93,1,0,4,0,,2022
Stade Rennais,Lens,1-1,https://www.besoccer.com/match/stade-rennes/lens/202215487,2022,1,ligue_1,79,66,0,0,2,0,,2022
Girondins Bordeaux,Clermont,0-2,https://www.besoccer.com/match/bordeaux/clermont-foot/202215478,2022,1,ligue_1,75,64,1,0,0,0,,2022
Nice,Stade de Reims,0-0,https://www.besoccer.com/match/nice/stade-reims/202215486,2022,1,ligue_1,73,72,1,0,1,0,,2022
Saint-Étienne,Lorient,1-1,https://www.besoccer.com/match/saint-etienne/lorient/202215488,2022,1,ligue_1,76,71,2,0,3,0,,2022
Strasbourg,Angers SCO,0-2,https://www.besoccer.com/match/strasbourg/angers-sco/202215489,2022,1,ligue_1,71,71,2,0,3,0,,2022
Metz,Lille,3-3,https://www.besoccer.com/match/metz/lillestrom/202215482,2022,1,ligue_1,70,84,1,1,2,1,,2022
Montpellier,Olympique Marseille,2-3,https://www.besoccer.com/match/montpellier-hsc/olympique-marsella/202215484,2022,1,ligue_1,77,81,0,0,1,0,,2022
Lorient,Monaco,1-0,https://www.besoccer.com/match/lorient/monaco/202215496,2022,2,ligue_1,70,86,3,0,2,0,,2022
Lille,Nice,0-4,https://www.besoccer.com/match/lillestrom/nice/202215495,2022,2,ligue_1,83,72,3,0,1,0,,2022
PSG,Strasbourg,4-2,https://www.besoccer.com/match/paris-saint-germain-fc/strasbourg/202215499,2022,2,ligue_1,93,71,1,0,3,0,,2022
Angers SCO,Olympique Lyonnais,3-0,https://www.besoccer.com/match/angers-sco/olympique-lyonnais/202215491,2022,2,ligue_1,71,89,1,0,4,0,,2022
Stade Brestois,Stade Rennais,1-1,https://www.besoccer.com/match/stade-brestois-29/stade-rennes/202215492,2022,2,ligue_1,67,79,2,0,3,0,,2022
Clermont,Troyes,2-0,https://www.besoccer.com/match/clermont-foot/troyes/202215493,2022,2,ligue_1,64,66,1,0,2,0,,2022
Nantes,Metz,2-0,https://www.besoccer.com/match/nantes/metz/202215498,2022,2,ligue_1,75,70,2,0,0,0,,2022
Stade de Reims,Montpellier,3-3,https://www.besoccer.com/match/stade-reims/montpellier-hsc/202215500,2022,2,ligue_1,73,76,2,0,1,0,,2022
Lens,Saint-Étienne,2-2,https://www.besoccer.com/match/lens/saint-etienne/202215494,2022,2,ligue_1,66,76,1,0,6,0,,2022
Olympique Marseille,Girondins Bordeaux,2-2,https://www.besoccer.com/match/olympique-marsella/bordeaux/202215497,2022,2,ligue_1,82,76,2,1,2,1,,2022
Stade Brestois,PSG,2-4,https://www.besoccer.com/match/stade-brestois-29/paris-saint-germain-fc/202215502,2022,3,ligue_1,66,93,1,0,2,0,,2022
Monaco,Lens,0-2,https://www.besoccer.com/match/monaco/lens/202215509,2022,3,ligue_1,86,66,1,1,1,1,,2022
Saint-Étienne,Lille,1-1,https://www.besoccer.com/match/saint-etienne/lillestrom/202215515,2022,3,ligue_1,76,83,1,0,3,0,,2022
Olympique Lyonnais,Clermont,3-3,https://www.besoccer.com/match/olympique-lyonnais/clermont-foot/202215504,2022,3,ligue_1,90,65,2,0,2,0,,2022
Girondins Bordeaux,Angers SCO,1-1,https://www.besoccer.com/match/bordeaux/angers-sco/202215501,2022,3,ligue_1,76,71,2,0,0,0,,2022
Metz,Stade de Reims,1-1,https://www.besoccer.com/match/metz/stade-reims/202215506,2022,3,ligue_1,70,74,4,0,2,0,,2022
Montpellier,Lorient,3-1,https://www.besoccer.com/match/montpellier-hsc/lorient/202215510,2022,3,ligue_1,76,71,0,0,4,0,,2022
Strasbourg,Troyes,1-1,https://www.besoccer.com/match/strasbourg/troyes/202215517,2022,3,ligue_1,70,67,3,0,1,0,,2022
Stade Rennais,Nantes,1-0,https://www.besoccer.com/match/stade-rennes/nantes/202215513,2022,3,ligue_1,79,74,2,0,2,0,,2022
Nice,Olympique Marseille,1-1,https://www.besoccer.com/match/nice/olympique-marsella/202215512,2022,3,ligue_1,71,82,2,0,2,0,,2022
Nantes,Olympique Lyonnais,0-1,https://www.besoccer.com/match/nantes/olympique-lyonnais/202215527,2022,4,ligue_1,74,89,2,0,1,0,,2022
Nice,Girondins Bordeaux,4-0,https://www.besoccer.com/match/nice/bordeaux/202215528,2022,4,ligue_1,70,76,3,0,2,0,,2022
Olympique Marseille,Saint-Étienne,3-1,https://www.besoccer.com/match/olympique-marsella/saint-etienne/202215526,2022,4,ligue_1,82,76,1,0,3,0,,2022
Troyes,Monaco,1-2,https://www.besoccer.com/match/troyes/monaco/202215536,2022,4,ligue_1,66,86,1,0,2,0,,2022
Angers SCO,Stade Rennais,2-0,https://www.besoccer.com/match/angers-sco/stade-rennes/202215519,2022,4,ligue_1,72,78,1,0,1,0,,2022
Clermont,Metz,2-2,https://www.besoccer.com/match/clermont-foot/metz/202215521,2022,4,ligue_1,66,70,1,0,2,0,,2022
Lens,Lorient,2-2,https://www.besoccer.com/match/lens/lorient/202215523,2022,4,ligue_1,66,72,2,0,4,0,,2022
Strasbourg,Stade Brestois,3-1,https://www.besoccer.com/match/strasbourg/stade-brestois-29/202215533,2022,4,ligue_1,71,66,1,0,1,0,,2022
