Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Sporting CP,Vizela,3-0,https://www.besoccer.com/match/sporting-lisbon/vizela/202235044,2022,1,primeira_liga,89,59,1,0,3,0,,2022
Arouca,Estoril,0-2,https://www.besoccer.com/match/arouca/estoril/202235052,2022,1,primeira_liga,62,70,1,0,3,0,,2022
Moreirense,Benfica,1-2,https://www.besoccer.com/match/moreirense-fc/benfica/202235048,2022,1,primeira_liga,71,90,4,1,4,1,,2022
Marítimo,Sporting Braga,0-2,https://www.besoccer.com/match/maritimo/sporting-braga/202235051,2022,1,primeira_liga,69,86,3,0,3,0,,2022
Vitória Guimarães,Portimonense,0-1,https://www.besoccer.com/match/vitoria-guimaraes/portimonense/202235047,2022,1,primeira_liga,80,65,2,0,3,0,,2022
Tondela,CD Santa Clara,3-0,https://www.besoccer.com/match/tondela/santa-clara/202235050,2022,1,primeira_liga,66,67,1,0,3,0,,2022
Porto,Belenenses SAD,2-0,https://www.besoccer.com/match/fc-porto/cf-os-belenenses-ii/202235045,2022,1,primeira_liga,90,73,2,0,3,0,,2022
Paços de Ferreira,Famalicão,2-0,https://www.besoccer.com/match/pacos-ferreira/famalicao/202235046,2022,1,primeira_liga,71,67,2,0,4,0,,2022
Gil Vicente,Boavista,3-0,https://www.besoccer.com/match/gil-vicente/boavista/202235049,2022,1,primeira_liga,60,67,3,0,3,0,,2022
Estoril,Vitória Guimarães,0-0,https://www.besoccer.com/match/estoril/vitoria-guimaraes/202235060,2022,2,primeira_liga,70,80,2,0,3,0,,2022
Vizela,Tondela,2-1,https://www.besoccer.com/match/vizela/tondela/202235061,2022,2,primeira_liga,59,66,3,0,3,0,,2022
Benfica,Arouca,2-0,https://www.besoccer.com/match/benfica/arouca/202235053,2022,2,primeira_liga,90,62,1,0,0,0,,2022
Sporting Braga,Sporting CP,1-2,https://www.besoccer.com/match/sporting-braga/sporting-lisbon/202235054,2022,2,primeira_liga,86,88,3,0,3,0,,2022
Portimonense,Gil Vicente,0-1,https://www.besoccer.com/match/portimonense/gil-vicente/202235059,2022,2,primeira_liga,65,61,3,0,2,0,,2022
Famalicão,Porto,1-2,https://www.besoccer.com/match/famalicao/fc-porto/202235056,2022,2,primeira_liga,67,90,3,0,1,0,,2022
CD Santa Clara,Moreirense,2-2,https://www.besoccer.com/match/santa-clara/moreirense-fc/202235055,2022,2,primeira_liga,67,69,5,0,4,0,,2022
Boavista,Paços de Ferreira,3-0,https://www.besoccer.com/match/boavista/pacos-ferreira/202235058,2022,2,primeira_liga,67,71,3,0,2,0,,2022
Belenenses SAD,Marítimo,1-2,https://www.besoccer.com/match/cf-os-belenenses-ii/maritimo/202235057,2022,2,primeira_liga,73,69,4,0,5,0,,2022
Arouca,Famalicão,2-1,https://www.besoccer.com/match/arouca/famalicao/202235070,2022,3,primeira_liga,62,67,4,0,4,0,,2022
Moreirense,Sporting Braga,2-3,https://www.besoccer.com/match/moreirense-fc/sporting-braga/202235065,2022,3,primeira_liga,69,85,4,0,2,0,,2022
Gil Vicente,Benfica,0-2,https://www.besoccer.com/match/gil-vicente/benfica/202235066,2022,3,primeira_liga,61,90,3,0,2,0,,2022
Sporting CP,Belenenses SAD,2-0,https://www.besoccer.com/match/sporting-lisbon/cf-os-belenenses-ii/202235062,2022,3,primeira_liga,89,73,2,0,2,0,,2022
Tondela,Portimonense,0-3,https://www.besoccer.com/match/tondela/portimonense/202235067,2022,3,primeira_liga,66,65,4,0,4,0,,2022
Marítimo,Porto,1-1,https://www.besoccer.com/match/maritimo/fc-porto/202235069,2022,3,primeira_liga,69,90,4,0,1,0,,2022
Vitória Guimarães,Vizela,4-0,https://www.besoccer.com/match/vitoria-guimaraes/vizela/202235064,2022,3,primeira_liga,80,59,4,0,4,0,,2022
Paços de Ferreira,Estoril,1-3,https://www.besoccer.com/match/pacos-ferreira/estoril/202235063,2022,3,primeira_liga,71,70,3,0,3,0,,2022
Boavista,CD Santa Clara,2-0,https://www.besoccer.com/match/boavista/santa-clara/202235068,2022,3,primeira_liga,67,67,3,0,3,0,,2022
Belenenses SAD,Moreirense,1-1,https://www.besoccer.com/match/cf-os-belenenses-ii/moreirense-fc/202235077,2022,4,primeira_liga,73,69,5,1,4,1,,2022
