Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Valencia,Getafe,1-0,https://www.besoccer.com/match/valencia-cf/getafe/202220744,2022,1,primera_division,83,77,6,1,2,1,,2022
Mallorca,Real Betis,1-1,https://www.besoccer.com/match/mallorca/betis/202220740,2022,1,primera_division,73,81,1,0,3,0,,2022
Cádiz,Levante,1-1,https://www.besoccer.com/match/cadiz/levante/202220741,2022,1,primera_division,70,74,1,0,5,0,,2022
Alavés,Real Madrid,1-4,https://www.besoccer.com/match/alaves/real-madrid/202220737,2022,1,primera_division,71,95,1,0,2,0,,2022
Osasuna,Espanyol,0-0,https://www.besoccer.com/match/osasuna/espanyol/202220742,2022,1,primera_division,75,76,3,0,3,0,,2022
Celta,Atlético,1-2,https://www.besoccer.com/match/celta/atletico-madrid/202220739,2022,1,primera_division,79,93,4,1,5,1,,2022
Barcelona,R. Sociedad,4-2,https://www.besoccer.com/match/barcelona/real-sociedad/202220738,2022,1,primera_division,97,84,2,0,4,0,,2022
Sevilla,Rayo Vallecano,3-0,https://www.besoccer.com/match/sevilla/rayo-vallecano/202220743,2022,1,primera_division,90,68,1,0,0,0,,2022
Villarreal,Granada,0-0,https://www.besoccer.com/match/villarreal/granada/202220745,2022,1,primera_division,85,77,4,1,1,1,,2022
Elche,Athletic,0-0,https://www.besoccer.com/match/elche/athletic-bilbao/202220746,2022,1,primera_division,64,81,2,0,2,0,,2022
Real Betis,Cádiz,1-1,https://www.besoccer.com/match/betis/cadiz/202220760,2022,2,primera_division,81,70,4,0,0,0,,2022
Alavés,Mallorca,0-1,https://www.besoccer.com/match/alaves/mallorca/202220755,2022,2,primera_division,71,74,2,1,3,1,,2022
Granada,Valencia,1-1,https://www.besoccer.com/match/granada/valencia-cf/202220762,2022,2,primera_division,77,83,4,0,2,0,,2022
Espanyol,Villarreal,0-0,https://www.besoccer.com/match/espanyol/villarreal/202220763,2022,2,primera_division,75,85,3,0,4,0,,2022
Athletic,Barcelona,1-1,https://www.besoccer.com/match/athletic-bilbao/barcelona/202220757,2022,2,primera_division,81,97,1,0,2,0,,2022
R. Sociedad,Rayo Vallecano,1-0,https://www.besoccer.com/match/real-sociedad/rayo-vallecano/202220766,2022,2,primera_division,84,69,3,0,4,0,,2022
Atlético,Elche,1-0,https://www.besoccer.com/match/atletico-madrid/elche/202220758,2022,2,primera_division,93,65,2,0,2,0,,2022
