Home_Team,Away_Team,Result,Link,Season,Round,League
Huesca,Eibar,2-0,https://www.besoccer.com/match/huesca/eibar/202221135,2022,1,segunda_division
Real Zaragoza,UD Ibiza,0-0,https://www.besoccer.com/match/real-zaragoza/ibiza-eivissa/202221147,2022,1,segunda_division
R. Sociedad B,Leganés,1-0,https://www.besoccer.com/match/real-sociedad-b/leganes/202221142,2022,1,segunda_division
Girona,SD Amorebieta,2-0,https://www.besoccer.com/match/girona-fc/amorebieta/202221134,2022,1,segunda_division
Ponferradina,Alcorcón,1-0,https://www.besoccer.com/match/ponferradina-sd/ad-alcorcon/202221141,2022,1,segunda_division
Real Sporting,Burgos,1-0,https://www.besoccer.com/match/sporting-gijon/burgos-cf/202221143,2022,1,segunda_division
Real Oviedo,Lugo,2-2,https://www.besoccer.com/match/real-oviedo/lugo/202221138,2022,1,segunda_division
Fuenlabrada,Tenerife,1-2,https://www.besoccer.com/match/fuenlabrada/tenerife/202221133,2022,1,segunda_division
Las Palmas,Real Valladolid,1-1,https://www.besoccer.com/match/ud-palmas/valladolid/202221136,2022,1,segunda_division
Málaga,Mirandés,0-0,https://www.besoccer.com/match/malaga/mirandes/202221137,2022,1,segunda_division
FC Cartagena,Almería,1-3,https://www.besoccer.com/match/cartagena/almeria/202221132,2022,1,segunda_division
Real Valladolid,Real Zaragoza,2-0,https://www.besoccer.com/match/valladolid/real-zaragoza/202221167,2022,2,segunda_division
Almería,Real Oviedo,2-1,https://www.besoccer.com/match/almeria/real-oviedo/202221152,2022,2,segunda_division
Lugo,R. Sociedad B,0-0,https://www.besoccer.com/match/lugo/real-sociedad-b/202221161,2022,2,segunda_division
Tenerife,Real Sporting,0-0,https://www.besoccer.com/match/tenerife/sporting-gijon/202221165,2022,2,segunda_division
Alcorcón,Fuenlabrada,0-2,https://www.besoccer.com/match/ad-alcorcon/fuenlabrada/202221140,2022,2,segunda_division
UD Ibiza,Málaga,2-2,https://www.besoccer.com/match/ibiza-eivissa/malaga/202221158,2022,2,segunda_division
Eibar,Ponferradina,0-1,https://www.besoccer.com/match/eibar/ponferradina-sd/202221148,2022,2,segunda_division
Girona,Las Palmas,0-0,https://www.besoccer.com/match/girona-fc/ud-palmas/202221155,2022,2,segunda_division
Huesca,FC Cartagena,2-0,https://www.besoccer.com/match/huesca/cartagena/202221156,2022,2,segunda_division
Mirandés,SD Amorebieta,2-0,https://www.besoccer.com/match/mirandes/amorebieta/202221163,2022,2,segunda_division
Leganés,Burgos,0-0,https://www.besoccer.com/match/leganes/burgos-cf/202221159,2022,2,segunda_division
Las Palmas,Huesca,2-1,https://www.besoccer.com/match/ud-palmas/huesca/202221177,2022,3,segunda_division
Málaga,Alcorcón,1-0,https://www.besoccer.com/match/malaga/ad-alcorcon/202221181,2022,3,segunda_division
Real Sporting,Mirandés,2-1,https://www.besoccer.com/match/sporting-gijon/mirandes/202221191,2022,3,segunda_division
Leganés,UD Ibiza,1-2,https://www.besoccer.com/match/leganes/ibiza-eivissa/202221176,2022,3,segunda_division
Real Oviedo,Tenerife,0-0,https://www.besoccer.com/match/real-oviedo/tenerife/202221183,2022,3,segunda_division
