Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Gil Vicente,Nacional,2-0,https://www.besoccer.com/match/gil-vicente/nacional/199820430,1998,1,segunda_liga,55,64,0,0,0,0,,1998
Academico Viseu,Estoril,1-0,https://www.besoccer.com/match/academico-viseu/estoril/199820431,1998,1,segunda_liga,52,63,0,0,0,0,,1998
Torreense,União Madeira,1-0,https://www.besoccer.com/match/torreense/uniao-madeira/199820432,1998,1,segunda_liga,64,63,0,0,0,0,,1998
FC Felgueiras,Espinho,2-1,https://www.besoccer.com/match/fc-felgueiras/espinho/199820433,1998,1,segunda_liga,64,57,0,0,0,0,,1998
Feirense,União de Leiria,2-2,https://www.besoccer.com/match/feirense/uniao-leiria/199820434,1998,1,segunda_liga,52,59,0,0,0,0,,1998
Desportivo Aves,Moreirense,0-1,https://www.besoccer.com/match/desportivo-aves/moreirense-fc/199820435,1998,1,segunda_liga,52,52,0,0,0,0,,1998
FC Maia,Uniao Lamas,3-0,https://www.besoccer.com/match/fc-maia/uniao-lamas/199820436,1998,1,segunda_liga,52,52,0,0,0,0,,1998
Paços de Ferreira,Penafiel,1-1,https://www.besoccer.com/match/pacos-ferreira/penafiel/199820437,1998,1,segunda_liga,64,63,0,0,0,0,,1998
Beira Mar SC,Alverca,0-0,https://www.besoccer.com/match/beira-mar/alverca/199820438,1998,1,segunda_liga,63,52,0,0,0,0,,1998
Uniao Lamas,Desportivo Aves,4-0,https://www.besoccer.com/match/uniao-lamas/desportivo-aves/199820439,1998,2,segunda_liga,52,52,0,0,0,0,,1998
Espinho,Feirense,1-1,https://www.besoccer.com/match/espinho/feirense/199820440,1998,2,segunda_liga,57,52,0,0,0,0,,1998
Penafiel,FC Felgueiras,3-2,https://www.besoccer.com/match/penafiel/fc-felgueiras/199820441,1998,2,segunda_liga,63,64,0,0,0,0,,1998
Estoril,Beira Mar SC,1-1,https://www.besoccer.com/match/estoril/beira-mar/199820442,1998,2,segunda_liga,63,63,0,0,0,0,,1998
União de Leiria,Gil Vicente,0-0,https://www.besoccer.com/match/uniao-leiria/gil-vicente/199820443,1998,2,segunda_liga,59,55,0,0,0,0,,1998
Nacional,FC Maia,1-1,https://www.besoccer.com/match/nacional/fc-maia/199820444,1998,2,segunda_liga,63,53,0,0,0,0,,1998
Alverca,Paços de Ferreira,2-1,https://www.besoccer.com/match/alverca/pacos-ferreira/199820445,1998,2,segunda_liga,53,64,0,0,0,0,,1998
União Madeira,Academico Viseu,2-1,https://www.besoccer.com/match/uniao-madeira/academico-viseu/199820446,1998,2,segunda_liga,63,53,0,0,0,0,,1998
Moreirense,Torreense,1-0,https://www.besoccer.com/match/moreirense-fc/torreense/199820447,1998,2,segunda_liga,53,64,0,0,0,0,,1998
Gil Vicente,Espinho,3-0,https://www.besoccer.com/match/gil-vicente/espinho/199820448,1998,3,segunda_liga,55,57,0,0,0,0,,1998
Academico Viseu,Moreirense,4-1,https://www.besoccer.com/match/academico-viseu/moreirense-fc/199820449,1998,3,segunda_liga,53,53,0,0,0,0,,1998
Torreense,Uniao Lamas,0-1,https://www.besoccer.com/match/torreense/uniao-lamas/199820450,1998,3,segunda_liga,64,52,0,0,0,0,,1998
Feirense,Penafiel,1-3,https://www.besoccer.com/match/feirense/penafiel/199820451,1998,3,segunda_liga,53,63,0,0,0,0,,1998
Desportivo Aves,Nacional,2-0,https://www.besoccer.com/match/desportivo-aves/nacional/199820452,1998,3,segunda_liga,52,63,0,0,0,0,,1998
FC Maia,União de Leiria,2-2,https://www.besoccer.com/match/fc-maia/uniao-leiria/199820453,1998,3,segunda_liga,53,59,0,0,0,0,,1998
Paços de Ferreira,FC Felgueiras,0-0,https://www.besoccer.com/match/pacos-ferreira/fc-felgueiras/199820454,1998,3,segunda_liga,64,64,0,0,0,0,,1998
Beira Mar SC,União Madeira,0-2,https://www.besoccer.com/match/beira-mar/uniao-madeira/199820455,1998,3,segunda_liga,63,63,0,0,0,0,,1998
Alverca,Estoril,1-1,https://www.besoccer.com/match/alverca/estoril/199820456,1998,3,segunda_liga,53,63,0,0,0,0,,1998
Nacional,Torreense,0-2,https://www.besoccer.com/match/nacional/torreense/199820457,1998,4,segunda_liga,63,63,0,0,0,0,,1998
Uniao Lamas,Academico Viseu,1-1,https://www.besoccer.com/match/uniao-lamas/academico-viseu/199820458,1998,4,segunda_liga,53,53,0,0,0,0,,1998
Espinho,FC Maia,3-1,https://www.besoccer.com/match/espinho/fc-maia/199820459,1998,4,segunda_liga,57,53,0,0,0,0,,1998
União Madeira,Alverca,1-3,https://www.besoccer.com/match/uniao-madeira/alverca/199820460,1998,4,segunda_liga,63,53,0,0,0,0,,1998
FC Felgueiras,Feirense,1-0,https://www.besoccer.com/match/fc-felgueiras/feirense/199820461,1998,4,segunda_liga,64,52,0,0,0,0,,1998
Penafiel,Gil Vicente,1-1,https://www.besoccer.com/match/penafiel/gil-vicente/199820462,1998,4,segunda_liga,63,56,0,0,0,0,,1998
Estoril,Paços de Ferreira,2-2,https://www.besoccer.com/match/estoril/pacos-ferreira/199820463,1998,4,segunda_liga,63,63,0,0,0,0,,1998
Moreirense,Beira Mar SC,0-1,https://www.besoccer.com/match/moreirense-fc/beira-mar/199820464,1998,4,segunda_liga,53,63,0,0,0,0,,1998
União de Leiria,Desportivo Aves,2-2,https://www.besoccer.com/match/uniao-leiria/desportivo-aves/199820465,1998,4,segunda_liga,59,52,0,0,0,0,,1998
Gil Vicente,FC Felgueiras,3-0,https://www.besoccer.com/match/gil-vicente/fc-felgueiras/199820466,1998,5,segunda_liga,56,64,0,0,0,0,,1998
Academico Viseu,Nacional,0-1,https://www.besoccer.com/match/academico-viseu/nacional/199820467,1998,5,segunda_liga,53,63,0,0,0,0,,1998
Torreense,União de Leiria,1-1,https://www.besoccer.com/match/torreense/uniao-leiria/199820468,1998,5,segunda_liga,64,59,0,0,0,0,,1998
Desportivo Aves,Espinho,2-2,https://www.besoccer.com/match/desportivo-aves/espinho/199820469,1998,5,segunda_liga,52,57,0,0,0,0,,1998
FC Maia,Penafiel,5-1,https://www.besoccer.com/match/fc-maia/penafiel/199820470,1998,5,segunda_liga,53,63,0,0,0,0,,1998
Estoril,União Madeira,0-0,https://www.besoccer.com/match/estoril/uniao-madeira/199820471,1998,5,segunda_liga,63,63,0,0,0,0,,1998
Paços de Ferreira,Feirense,1-1,https://www.besoccer.com/match/pacos-ferreira/feirense/199820472,1998,5,segunda_liga,63,52,0,0,0,0,,1998
Alverca,Moreirense,2-0,https://www.besoccer.com/match/alverca/moreirense-fc/199820473,1998,5,segunda_liga,53,52,0,0,0,0,,1998
Beira Mar SC,Uniao Lamas,2-1,https://www.besoccer.com/match/beira-mar/uniao-lamas/199820474,1998,5,segunda_liga,63,53,0,0,0,0,,1998
Nacional,Beira Mar SC,2-1,https://www.besoccer.com/match/nacional/beira-mar/199820475,1998,6,segunda_liga,63,63,0,0,0,0,,1998
Uniao Lamas,Alverca,2-1,https://www.besoccer.com/match/uniao-lamas/alverca/199820476,1998,6,segunda_liga,53,53,0,0,0,0,,1998
Espinho,Torreense,2-0,https://www.besoccer.com/match/espinho/torreense/199820477,1998,6,segunda_liga,57,64,0,0,0,0,,1998
União Madeira,Paços de Ferreira,2-0,https://www.besoccer.com/match/uniao-madeira/pacos-ferreira/199820478,1998,6,segunda_liga,63,63,0,0,0,0,,1998
FC Felgueiras,FC Maia,1-0,https://www.besoccer.com/match/fc-felgueiras/fc-maia/199820479,1998,6,segunda_liga,63,53,0,0,0,0,,1998
Feirense,Gil Vicente,0-0,https://www.besoccer.com/match/feirense/gil-vicente/199820480,1998,6,segunda_liga,52,56,0,0,0,0,,1998
Penafiel,Desportivo Aves,4-0,https://www.besoccer.com/match/penafiel/desportivo-aves/199820481,1998,6,segunda_liga,63,52,0,0,0,0,,1998
Moreirense,Estoril,1-1,https://www.besoccer.com/match/moreirense-fc/estoril/199820482,1998,6,segunda_liga,52,63,0,0,0,0,,1998
União de Leiria,Academico Viseu,1-0,https://www.besoccer.com/match/uniao-leiria/academico-viseu/199820483,1998,6,segunda_liga,59,53,0,0,0,0,,1998
Academico Viseu,Espinho,1-2,https://www.besoccer.com/match/academico-viseu/espinho/199820484,1998,7,segunda_liga,53,57,0,0,0,0,,1998
Torreense,Penafiel,1-0,https://www.besoccer.com/match/torreense/penafiel/199820485,1998,7,segunda_liga,63,63,0,0,0,0,,1998
União Madeira,Moreirense,0-3,https://www.besoccer.com/match/uniao-madeira/moreirense-fc/199820486,1998,7,segunda_liga,63,52,0,0,0,0,,1998
Desportivo Aves,FC Felgueiras,2-1,https://www.besoccer.com/match/desportivo-aves/fc-felgueiras/199820487,1998,7,segunda_liga,52,64,0,0,0,0,,1998
FC Maia,Feirense,2-3,https://www.besoccer.com/match/fc-maia/feirense/199820488,1998,7,segunda_liga,53,52,0,0,0,0,,1998
Estoril,Uniao Lamas,4-2,https://www.besoccer.com/match/estoril/uniao-lamas/199820489,1998,7,segunda_liga,63,53,0,0,0,0,,1998
Paços de Ferreira,Gil Vicente,0-0,https://www.besoccer.com/match/pacos-ferreira/gil-vicente/199820490,1998,7,segunda_liga,63,56,0,0,0,0,,1998
Alverca,Nacional,3-0,https://www.besoccer.com/match/alverca/nacional/199820491,1998,7,segunda_liga,53,63,0,0,0,0,,1998
Beira Mar SC,União de Leiria,2-1,https://www.besoccer.com/match/beira-mar/uniao-leiria/199820492,1998,7,segunda_liga,63,59,0,0,0,0,,1998
Nacional,Estoril,0-1,https://www.besoccer.com/match/nacional/estoril/199820493,1998,8,segunda_liga,63,63,0,0,0,0,,1998
Gil Vicente,FC Maia,2-0,https://www.besoccer.com/match/gil-vicente/fc-maia/199820494,1998,8,segunda_liga,56,53,0,0,0,0,,1998
Uniao Lamas,União Madeira,2-2,https://www.besoccer.com/match/uniao-lamas/uniao-madeira/199820495,1998,8,segunda_liga,53,63,0,0,0,0,,1998
Espinho,Beira Mar SC,1-2,https://www.besoccer.com/match/espinho/beira-mar/199820496,1998,8,segunda_liga,57,63,0,0,0,0,,1998
FC Felgueiras,Torreense,7-0,https://www.besoccer.com/match/fc-felgueiras/torreense/199820497,1998,8,segunda_liga,63,64,0,0,0,0,,1998
Feirense,Desportivo Aves,1-0,https://www.besoccer.com/match/feirense/desportivo-aves/199820498,1998,8,segunda_liga,52,52,0,0,0,0,,1998
Penafiel,Academico Viseu,3-2,https://www.besoccer.com/match/penafiel/academico-viseu/199820499,1998,8,segunda_liga,63,52,0,0,0,0,,1998
Moreirense,Paços de Ferreira,2-1,https://www.besoccer.com/match/moreirense-fc/pacos-ferreira/199820500,1998,8,segunda_liga,53,63,0,0,0,0,,1998
União de Leiria,Alverca,1-3,https://www.besoccer.com/match/uniao-leiria/alverca/199820501,1998,8,segunda_liga,59,53,0,0,0,0,,1998
Academico Viseu,FC Felgueiras,1-0,https://www.besoccer.com/match/academico-viseu/fc-felgueiras/199820502,1998,9,segunda_liga,52,64,0,0,0,0,,1998
Torreense,Feirense,0-0,https://www.besoccer.com/match/torreense/feirense/199820503,1998,9,segunda_liga,63,53,0,0,0,0,,1998
União Madeira,Nacional,1-0,https://www.besoccer.com/match/uniao-madeira/nacional/199820504,1998,9,segunda_liga,63,63,0,0,0,0,,1998
Desportivo Aves,Gil Vicente,1-1,https://www.besoccer.com/match/desportivo-aves/gil-vicente/199820505,1998,9,segunda_liga,52,56,0,0,0,0,,1998
Estoril,União de Leiria,1-3,https://www.besoccer.com/match/estoril/uniao-leiria/199820506,1998,9,segunda_liga,63,59,0,0,0,0,,1998
Paços de Ferreira,FC Maia,0-3,https://www.besoccer.com/match/pacos-ferreira/fc-maia/199820507,1998,9,segunda_liga,63,53,0,0,0,0,,1998
Alverca,Espinho,1-0,https://www.besoccer.com/match/alverca/espinho/199820508,1998,9,segunda_liga,54,57,0,0,0,0,,1998
Beira Mar SC,Penafiel,0-0,https://www.besoccer.com/match/beira-mar/penafiel/199820509,1998,9,segunda_liga,63,63,0,0,0,0,,1998
Moreirense,Uniao Lamas,4-0,https://www.besoccer.com/match/moreirense-fc/uniao-lamas/199820510,1998,9,segunda_liga,53,53,0,0,0,0,,1998
Nacional,Moreirense,1-3,https://www.besoccer.com/match/nacional/moreirense-fc/199820511,1998,10,segunda_liga,63,53,0,0,0,0,,1998
Gil Vicente,Torreense,4-2,https://www.besoccer.com/match/gil-vicente/torreense/199820512,1998,10,segunda_liga,56,63,0,0,0,0,,1998
Uniao Lamas,Paços de Ferreira,3-1,https://www.besoccer.com/match/uniao-lamas/pacos-ferreira/199820513,1998,10,segunda_liga,52,63,0,0,0,0,,1998
Espinho,Estoril,0-0,https://www.besoccer.com/match/espinho/estoril/199820514,1998,10,segunda_liga,57,63,0,0,0,0,,1998
FC Felgueiras,Beira Mar SC,1-0,https://www.besoccer.com/match/fc-felgueiras/beira-mar/199820515,1998,10,segunda_liga,63,63,0,0,0,0,,1998
Feirense,Academico Viseu,0-0,https://www.besoccer.com/match/feirense/academico-viseu/199820516,1998,10,segunda_liga,53,53,0,0,0,0,,1998
FC Maia,Desportivo Aves,4-3,https://www.besoccer.com/match/fc-maia/desportivo-aves/199820517,1998,10,segunda_liga,53,52,0,0,0,0,,1998
Penafiel,Alverca,1-0,https://www.besoccer.com/match/penafiel/alverca/199820518,1998,10,segunda_liga,63,54,0,0,0,0,,1998
União de Leiria,União Madeira,5-0,https://www.besoccer.com/match/uniao-leiria/uniao-madeira/199820519,1998,10,segunda_liga,59,63,0,0,0,0,,1998
União Madeira,Espinho,1-0,https://www.besoccer.com/match/uniao-madeira/espinho/199820520,1998,11,segunda_liga,63,57,0,0,0,0,,1998
Uniao Lamas,Nacional,1-1,https://www.besoccer.com/match/uniao-lamas/nacional/199820521,1998,11,segunda_liga,53,63,0,0,0,0,,1998
Academico Viseu,Gil Vicente,1-1,https://www.besoccer.com/match/academico-viseu/gil-vicente/199820522,1998,11,segunda_liga,53,56,0,0,0,0,,1998
Torreense,FC Maia,2-1,https://www.besoccer.com/match/torreense/fc-maia/199820523,1998,11,segunda_liga,63,53,0,0,0,0,,1998
Estoril,Penafiel,1-2,https://www.besoccer.com/match/estoril/penafiel/199820524,1998,11,segunda_liga,63,63,0,0,0,0,,1998
Paços de Ferreira,Desportivo Aves,0-2,https://www.besoccer.com/match/pacos-ferreira/desportivo-aves/199820525,1998,11,segunda_liga,63,52,0,0,0,0,,1998
Beira Mar SC,Feirense,1-0,https://www.besoccer.com/match/beira-mar/feirense/199820526,1998,11,segunda_liga,63,53,0,0,0,0,,1998
Moreirense,União de Leiria,0-1,https://www.besoccer.com/match/moreirense-fc/uniao-leiria/199820527,1998,11,segunda_liga,53,59,0,0,0,0,,1998
Alverca,FC Felgueiras,3-0,https://www.besoccer.com/match/alverca/fc-felgueiras/199820528,1998,11,segunda_liga,54,64,0,0,0,0,,1998
Nacional,Paços de Ferreira,0-0,https://www.besoccer.com/match/nacional/pacos-ferreira/199820529,1998,12,segunda_liga,63,62,0,0,0,0,,1998
Gil Vicente,Beira Mar SC,1-1,https://www.besoccer.com/match/gil-vicente/beira-mar/199820530,1998,12,segunda_liga,56,63,0,0,0,0,,1998
Espinho,Moreirense,3-1,https://www.besoccer.com/match/espinho/moreirense-fc/199820531,1998,12,segunda_liga,57,53,0,0,0,0,,1998
FC Felgueiras,Estoril,1-0,https://www.besoccer.com/match/fc-felgueiras/estoril/199820532,1998,12,segunda_liga,63,63,0,0,0,0,,1998
Feirense,Alverca,1-0,https://www.besoccer.com/match/feirense/alverca/199820533,1998,12,segunda_liga,53,54,0,0,0,0,,1998
Desportivo Aves,Torreense,1-0,https://www.besoccer.com/match/desportivo-aves/torreense/199820534,1998,12,segunda_liga,52,63,0,0,0,0,,1998
FC Maia,Academico Viseu,3-1,https://www.besoccer.com/match/fc-maia/academico-viseu/199820535,1998,12,segunda_liga,53,53,0,0,0,0,,1998
Penafiel,União Madeira,2-2,https://www.besoccer.com/match/penafiel/uniao-madeira/199820536,1998,12,segunda_liga,63,63,0,0,0,0,,1998
União de Leiria,Uniao Lamas,1-1,https://www.besoccer.com/match/uniao-leiria/uniao-lamas/199820537,1998,12,segunda_liga,59,53,0,0,0,0,,1998
Uniao Lamas,Espinho,2-2,https://www.besoccer.com/match/uniao-lamas/espinho/199820538,1998,13,segunda_liga,53,57,0,0,0,0,,1998
Academico Viseu,Desportivo Aves,2-3,https://www.besoccer.com/match/academico-viseu/desportivo-aves/199820539,1998,13,segunda_liga,52,53,0,0,0,0,,1998
União Madeira,FC Felgueiras,3-1,https://www.besoccer.com/match/uniao-madeira/fc-felgueiras/199820540,1998,13,segunda_liga,63,63,0,0,0,0,,1998
Estoril,Feirense,0-2,https://www.besoccer.com/match/estoril/feirense/199820541,1998,13,segunda_liga,63,53,0,0,0,0,,1998
Paços de Ferreira,Torreense,2-0,https://www.besoccer.com/match/pacos-ferreira/torreense/199820542,1998,13,segunda_liga,63,63,0,0,0,0,,1998
Alverca,Gil Vicente,2-1,https://www.besoccer.com/match/alverca/gil-vicente/199820543,1998,13,segunda_liga,54,56,0,0,0,0,,1998
Beira Mar SC,FC Maia,1-0,https://www.besoccer.com/match/beira-mar/fc-maia/199820544,1998,13,segunda_liga,63,53,0,0,0,0,,1998
Moreirense,Penafiel,2-2,https://www.besoccer.com/match/moreirense-fc/penafiel/199820545,1998,13,segunda_liga,53,63,0,0,0,0,,1998
Nacional,União de Leiria,3-4,https://www.besoccer.com/match/nacional/uniao-leiria/199820546,1998,13,segunda_liga,63,59,0,0,0,0,,1998
Gil Vicente,Estoril,2-0,https://www.besoccer.com/match/gil-vicente/estoril/199820547,1998,14,segunda_liga,56,63,0,0,0,0,,1998
Torreense,Academico Viseu,1-1,https://www.besoccer.com/match/torreense/academico-viseu/199820548,1998,14,segunda_liga,63,52,0,0,0,0,,1998
Espinho,Nacional,1-1,https://www.besoccer.com/match/espinho/nacional/199820549,1998,14,segunda_liga,57,62,0,0,0,0,,1998
FC Felgueiras,Moreirense,2-1,https://www.besoccer.com/match/fc-felgueiras/moreirense-fc/199820550,1998,14,segunda_liga,63,53,0,0,0,0,,1998
Feirense,União Madeira,2-1,https://www.besoccer.com/match/feirense/uniao-madeira/199820551,1998,14,segunda_liga,53,63,0,0,0,0,,1998
Desportivo Aves,Beira Mar SC,1-3,https://www.besoccer.com/match/desportivo-aves/beira-mar/199820552,1998,14,segunda_liga,53,63,0,0,0,0,,1998
