Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Hellas Verona,Sassuolo,2-3,https://www.besoccer.com/match/hellas-verona-fc/us-sassuolo-calcio/202248767,2022,1,serie_a,70,77,2,1,2,1,,2022
Inter,Genoa,4-0,https://www.besoccer.com/match/internazionale/genoa/202248768,2022,1,serie_a,90,73,1,0,2,0,,2022
Empoli,Lazio,1-3,https://www.besoccer.com/match/empoli-fc/lazio/202248766,2022,1,serie_a,75,85,2,0,1,0,,2022
Torino,Atalanta,1-2,https://www.besoccer.com/match/torino-fc/atalanta/202248772,2022,1,serie_a,75,87,2,0,2,0,,2022
Bologna,Salernitana,3-2,https://www.besoccer.com/match/bologna/salernitana-calcio-1919/202248764,2022,1,serie_a,72,60,4,2,2,2,,2022
Udinese,Juventus,2-2,https://www.besoccer.com/match/udinese/juventus-fc/202248773,2022,1,serie_a,72,94,1,0,3,0,,2022
Napoli,Venezia,2-0,https://www.besoccer.com/match/napoli/venezia/202248769,2022,1,serie_a,90,60,1,1,7,1,,2022
Roma,Fiorentina,3-1,https://www.besoccer.com/match/roma/fiorentina/202248770,2022,1,serie_a,87,79,2,1,2,1,,2022
Cagliari,Spezia,2-2,https://www.besoccer.com/match/cagliari/asd-spezia/202248765,2022,1,serie_a,74,64,2,0,3,0,,2022
Sampdoria,Milan,0-1,https://www.besoccer.com/match/sampdoria/milan/202248771,2022,1,serie_a,75,87,3,0,1,0,,2022
Udinese,Venezia,3-0,https://www.besoccer.com/match/udinese/venezia/202248783,2022,2,serie_a,71,60,2,0,3,0,,2022
Hellas Verona,Inter,1-3,https://www.besoccer.com/match/hellas-verona-fc/internazionale/202248777,2022,2,serie_a,70,91,2,0,2,0,,2022
Atalanta,Bologna,0-0,https://www.besoccer.com/match/atalanta/bologna/202248774,2022,2,serie_a,87,73,2,0,5,0,,2022
Lazio,Spezia,6-1,https://www.besoccer.com/match/lazio/asd-spezia/202248779,2022,2,serie_a,85,64,0,0,2,0,,2022
Fiorentina,Torino,2-1,https://www.besoccer.com/match/fiorentina/torino-fc/202248775,2022,2,serie_a,79,75,4,0,5,0,,2022
Juventus,Empoli,0-1,https://www.besoccer.com/match/juventus-fc/empoli-fc/202248778,2022,2,serie_a,94,75,2,0,3,0,,2022
Genoa,Napoli,1-2,https://www.besoccer.com/match/genoa/napoli/202248776,2022,2,serie_a,74,90,2,0,3,0,,2022
Sassuolo,Sampdoria,0-0,https://www.besoccer.com/match/us-sassuolo-calcio/sampdoria/202248782,2022,2,serie_a,76,75,2,0,2,0,,2022
Milan,Cagliari,4-1,https://www.besoccer.com/match/milan/cagliari/202248780,2022,2,serie_a,87,74,1,0,5,0,,2022
Salernitana,Roma,0-4,https://www.besoccer.com/match/salernitana-calcio-1919/roma/202248781,2022,2,serie_a,59,87,2,0,2,0,,2022
Empoli,Venezia,1-2,https://www.besoccer.com/match/empoli-fc/venezia/202248787,2022,3,serie_a,75,62,2,0,5,0,,2022
Napoli,Juventus,2-1,https://www.besoccer.com/match/napoli/juventus-fc/202248789,2022,3,serie_a,91,94,2,0,1,0,,2022
Atalanta,Fiorentina,1-2,https://www.besoccer.com/match/atalanta/fiorentina/202248784,2022,3,serie_a,86,79,4,0,4,0,,2022
Sampdoria,Inter,2-2,https://www.besoccer.com/match/sampdoria/internazionale/202248791,2022,3,serie_a,75,91,4,0,4,0,,2022
Cagliari,Genoa,2-3,https://www.besoccer.com/match/cagliari/genoa/202248786,2022,3,serie_a,73,73,2,0,3,0,,2022
Spezia,Udinese,0-1,https://www.besoccer.com/match/asd-spezia/udinese/202248792,2022,3,serie_a,64,71,1,0,2,0,,2022
Torino,Salernitana,4-0,https://www.besoccer.com/match/torino-fc/salernitana-calcio-1919/202248793,2022,3,serie_a,74,60,0,0,2,0,,2022
Milan,Lazio,2-0,https://www.besoccer.com/match/milan/lazio/202248788,2022,3,serie_a,87,85,1,0,4,0,,2022
Roma,Sassuolo,2-1,https://www.besoccer.com/match/roma/us-sassuolo-calcio/202248790,2022,3,serie_a,87,77,2,0,1,0,,2022
Bologna,Hellas Verona,1-0,https://www.besoccer.com/match/bologna/hellas-verona-fc/202248785,2022,3,serie_a,71,70,1,0,3,0,,2022
Sassuolo,Torino,0-1,https://www.besoccer.com/match/us-sassuolo-calcio/torino-fc/202248801,2022,4,serie_a,77,74,0,0,4,0,,2022
Genoa,Fiorentina,1-2,https://www.besoccer.com/match/genoa/fiorentina/202248795,2022,4,serie_a,73,79,4,0,4,0,,2022
Inter,Bologna,6-1,https://www.besoccer.com/match/internazionale/bologna/202248797,2022,4,serie_a,91,71,0,0,3,0,,2022
Salernitana,Atalanta,0-1,https://www.besoccer.com/match/salernitana-calcio-1919/atalanta/202248800,2022,4,serie_a,60,86,4,0,4,0,,2022
Empoli,Sampdoria,0-3,https://www.besoccer.com/match/empoli-fc/sampdoria/202248794,2022,4,serie_a,75,75,2,0,2,0,,2022
Venezia,Spezia,1-2,https://www.besoccer.com/match/venezia/asd-spezia/202248803,2022,4,serie_a,62,64,4,0,1,0,,2022
Hellas Verona,Roma,3-2,https://www.besoccer.com/match/hellas-verona-fc/roma/202248796,2022,4,serie_a,70,87,4,0,2,0,,2022
Lazio,Cagliari,2-2,https://www.besoccer.com/match/lazio/cagliari/202248799,2022,4,serie_a,85,73,1,0,2,0,,2022
Juventus,Milan,1-1,https://www.besoccer.com/match/juventus-fc/milan/202248798,2022,4,serie_a,94,87,1,0,1,0,,2022
Udinese,Napoli,0-4,https://www.besoccer.com/match/udinese/napoli/202248802,2022,4,serie_a,71,91,2,0,1,0,,2022
Bologna,Genoa,2-2,https://www.besoccer.com/match/bologna/genoa/202248805,2022,5,serie_a,71,73,3,0,4,0,,2022
Atalanta,Sassuolo,2-1,https://www.besoccer.com/match/atalanta/us-sassuolo-calcio/202248804,2022,5,serie_a,86,77,2,0,2,0,,2022
Fiorentina,Inter,1-3,https://www.besoccer.com/match/fiorentina/internazionale/202248807,2022,5,serie_a,79,91,1,1,3,1,,2022
Salernitana,Hellas Verona,2-2,https://www.besoccer.com/match/salernitana-calcio-1919/hellas-verona-fc/202248810,2022,5,serie_a,60,69,2,0,3,0,,2022
Spezia,Juventus,2-3,https://www.besoccer.com/match/asd-spezia/juventus-fc/202248812,2022,5,serie_a,64,94,2,0,1,0,,2022
