Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Yellow,Home_Red,Away_Yellow,Away_Red,Referee,Year
Frosinone,Parma,2-2,https://www.besoccer.com/match/frosinone-calcio/parma-fc/202295854,2022,1,serie_b,58,57,1,0,2,0,,2022
Pordenone,Perugia,0-1,https://www.besoccer.com/match/pordenone/perugia/202295855,2022,1,serie_b,48,64,1,0,7,0,,2022
Cittadella,Vicenza ,1-0,https://www.besoccer.com/match/as-cittadella/vicenza-calcio/202295848,2022,1,serie_b,59,49,6,0,4,0,,2022
Reggina,AC Monza,0-0,https://www.besoccer.com/match/reggina/ac-monza-brianza-1912/202295851,2022,1,serie_b,43,54,2,0,3,0,,2022
Ternana Calcio,Brescia,0-2,https://www.besoccer.com/match/ternana-calcio/brescia/202295856,2022,1,serie_b,55,62,0,0,4,0,,2022
Crotone,Como,2-2,https://www.besoccer.com/match/fc-crotone/como/202295849,2022,1,serie_b,60,40,4,0,4,0,,2022
Pisa SC,SPAL,1-0,https://www.besoccer.com/match/pisa-calcio/spal-1907/202295850,2022,1,serie_b,56,60,2,0,4,0,,2022
Benevento,US Alessandria,4-3,https://www.besoccer.com/match/benevento-calcio/us-alessandria-1912/202295852,2022,1,serie_b,61,52,3,0,4,0,,2022
Cremonese,Lecce,3-0,https://www.besoccer.com/match/us-cremonese/lecce/202295853,2022,1,serie_b,56,60,3,0,1,0,,2022
Ascoli,Nuova Cosenza,1-0,https://www.besoccer.com/match/ascoli/nuova-cosenza/2022148660,2022,1,serie_b,52,47,2,0,2,0,,2022
Pisa SC,US Alessandria,2-0,https://www.besoccer.com/match/pisa-calcio/us-alessandria-1912/202295864,2022,2,serie_b,56,53,2,0,2,0,,2022
Brescia,Nuova Cosenza,5-1,https://www.besoccer.com/match/brescia/nuova-cosenza/2022148724,2022,2,serie_b,62,47,0,0,2,0,,2022
Vicenza ,Frosinone,0-2,https://www.besoccer.com/match/vicenza-calcio/frosinone-calcio/202295857,2022,2,serie_b,49,58,4,0,2,0,,2022
Perugia,Ascoli,2-3,https://www.besoccer.com/match/perugia/ascoli/202295859,2022,2,serie_b,64,51,2,0,4,0,,2022
Cittadella,Crotone,4-2,https://www.besoccer.com/match/as-cittadella/fc-crotone/202295861,2022,2,serie_b,58,60,1,0,2,0,,2022
AC Monza,Cremonese,1-0,https://www.besoccer.com/match/ac-monza-brianza-1912/us-cremonese/202295858,2022,2,serie_b,53,56,3,0,2,0,,2022
Reggina,Ternana Calcio,3-2,https://www.besoccer.com/match/reggina/ternana-calcio/202295860,2022,2,serie_b,43,55,4,1,3,1,,2022
Lecce,Como,1-1,https://www.besoccer.com/match/lecce/como/202295862,2022,2,serie_b,60,40,2,0,2,0,,2022
Parma,Benevento,1-0,https://www.besoccer.com/match/parma-fc/benevento-calcio/202295863,2022,2,serie_b,57,61,3,0,2,0,,2022
